HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.title,Input.keyword1,Input.keyword2,Input.keyword3,Input.mood,Input.first_line,Input.line1,Input.line2,Input.line3,Answer.line1,Answer.line2,Answer.line3,Answer.line4,Approve,Reject
3Q2T3FD0ONH6A4005SIAAIU3LAX3MI,3H63IRCKX3PDP4MCU4U487QWHDZE8T,Writing Poetry!,The first stanza of a poem is written; write a second stanza to finish the poem.,"poetry, writing, rhyming",$0.01 ,Sat May 04 21:04:39 PDT 2019,3,BatchId:3631177;OriginalHitTemplateId:928390828;,3600,604800,Mon May 06 17:25:44 PDT 2019,,,3NLZY2D53QYGY7MBTUYTBX4C0NYLQH,A3H00OLEFL10HI,Submitted,Mon May 06 13:37:46 PDT 2019,Mon May 06 13:58:26 PDT 2019,Mon May 13 13:58:26 PDT 2019,,,,1240,0% (0/0),0% (0/0),0% (0/0),PUT SOMETHING IN (A Light in the Attic),silly,picture,poem,Happy,"Draw a crazy picture,",With lines of grass and loam,Then add a drop of tincture,To complete your silly poem,under the sky an azure,how fun it is to roam,and write poems in leisure,and silly pictures in Orem,,
3R868ACW4SL73NB7FWFO1EFL4JKGZK,3H63IRCKX3PDP4MCU4U487QWHDZE8T,Writing Poetry!,The first stanza of a poem is written; write a second stanza to finish the poem.,"poetry, writing, rhyming",$0.01 ,Sat May 04 21:04:40 PDT 2019,3,BatchId:3631177;OriginalHitTemplateId:928390828;,3600,604800,Sat May 11 21:04:40 PDT 2019,,,37W3JXSD67H5I3PWOIMPXUOUX11WY2,AJUCZL5FTKMTG,Submitted,Mon May 06 04:24:22 PDT 2019,Mon May 06 04:30:33 PDT 2019,Mon May 13 04:30:33 PDT 2019,,,,371,0% (0/0),0% (0/0),0% (0/0),PUT SOMETHING IN (A Light in the Attic),silly,picture,poem,Happy,"Draw a crazy picture,",Silly as can be.,"Draw a crazy picture,",Write a poem just for me.,then we will read the poem out loud silly,and you will know my picture,cuz its by your best friend Billy,who's name is also on the poem and that silly picture,,
3R868ACW4SL73NB7FWFO1EFL4JKGZK,3H63IRCKX3PDP4MCU4U487QWHDZE8T,Writing Poetry!,The first stanza of a poem is written; write a second stanza to finish the poem.,"poetry, writing, rhyming",$0.01 ,Sat May 04 21:04:40 PDT 2019,3,BatchId:3631177;OriginalHitTemplateId:928390828;,3600,604800,Sat May 11 21:04:40 PDT 2019,,,37W3JXSD67H5I3PWOIMPXUOUXY6WY1,A191V8LNTTLHSA,Submitted,Sun May 05 21:14:45 PDT 2019,Sun May 05 21:16:41 PDT 2019,Sun May 12 21:16:41 PDT 2019,,,,116,100% (20/20),0% (0/0),0% (0/0),PUT SOMETHING IN (A Light in the Attic),silly,picture,poem,Happy,"Draw a crazy picture,",Silly as can be.,"Draw a crazy picture,",Write a poem just for me.,BE HAPPY ALWAYS,HAPPY KIDS ARE SMART,HAPPY IS ALWAYS SWEET,HAPPY IS INJURIOUS TO HEALTH,,
3R868ACW4SL73NB7FWFO1EFL4JKGZK,3H63IRCKX3PDP4MCU4U487QWHDZE8T,Writing Poetry!,The first stanza of a poem is written; write a second stanza to finish the poem.,"poetry, writing, rhyming",$0.01 ,Sat May 04 21:04:40 PDT 2019,3,BatchId:3631177;OriginalHitTemplateId:928390828;,3600,604800,Sat May 11 21:04:40 PDT 2019,,,39OWYR0EPL037H31YTCPT62U2Z1YFY,A39VB8OXHQZ6ZW,Submitted,Mon May 06 10:44:22 PDT 2019,Mon May 06 10:48:47 PDT 2019,Mon May 13 10:48:47 PDT 2019,,,,265,0% (0/0),0% (0/0),0% (0/0),PUT SOMETHING IN (A Light in the Attic),silly,picture,poem,Happy,"Draw a crazy picture,",Silly as can be.,"Draw a crazy picture,",Write a poem just for me.,A poem that is silly,With the picture it goes,What is this picture really?,Nobody really knows.,,
3FVBZG9CLJNO1Y0SV8KEGFO01CEH0S,3H63IRCKX3PDP4MCU4U487QWHDZE8T,Writing Poetry!,The first stanza of a poem is written; write a second stanza to finish the poem.,"poetry, writing, rhyming",$0.01 ,Sat May 04 21:04:40 PDT 2019,3,BatchId:3631177;OriginalHitTemplateId:928390828;,3600,604800,Sat May 11 21:04:40 PDT 2019,,,30X31N5D64ZBF4AKO7Y8XJ32OVWSAZ,APZ5LEF7SXHP7,Submitted,Mon May 06 00:48:07 PDT 2019,Mon May 06 01:03:03 PDT 2019,Mon May 13 01:03:03 PDT 2019,,,,896,0% (0/0),0% (0/0),0% (0/0),PUT SOMETHING IN (A Light in the Attic),silly,picture,poem,Happy,"Draw a crazy picture,","Write a nutty poem,","Sing a mumble-gumble song,",Whistle through your comb.,Let your poem move mountains,As the silly dully,Message covered in picture curtains,Crowd entertained fully,,
3FVBZG9CLJNO1Y0SV8KEGFO01CEH0S,3H63IRCKX3PDP4MCU4U487QWHDZE8T,Writing Poetry!,The first stanza of a poem is written; write a second stanza to finish the poem.,"poetry, writing, rhyming",$0.01 ,Sat May 04 21:04:40 PDT 2019,3,BatchId:3631177;OriginalHitTemplateId:928390828;,3600,604800,Sat May 11 21:04:40 PDT 2019,,,3TEM0PF1Q669C2TKZF6QDE5PEAS0DC,A1152J7ZB2C8SC,Submitted,Mon May 06 13:00:07 PDT 2019,Mon May 06 13:08:55 PDT 2019,Mon May 13 13:08:55 PDT 2019,,,,528,0% (0/0),0% (0/0),0% (0/0),PUT SOMETHING IN (A Light in the Attic),silly,picture,poem,Happy,"Draw a crazy picture,","Write a nutty poem,","Sing a mumble-gumble song,",Whistle through your comb.,Go ahead and be silly.,Life is just a picture.,"Bring Susan, Joe, and Billy.",It's better with a mixture.,,
3FVBZG9CLJNO1Y0SV8KEGFO01CEH0S,3H63IRCKX3PDP4MCU4U487QWHDZE8T,Writing Poetry!,The first stanza of a poem is written; write a second stanza to finish the poem.,"poetry, writing, rhyming",$0.01 ,Sat May 04 21:04:40 PDT 2019,3,BatchId:3631177;OriginalHitTemplateId:928390828;,3600,604800,Sat May 11 21:04:40 PDT 2019,,,3X73LLYYQ2NT9EQTMHREFBG0EUNHN2,A3FOQKH42DTA0U,Submitted,Mon May 06 08:38:27 PDT 2019,Mon May 06 08:39:21 PDT 2019,Mon May 13 08:39:21 PDT 2019,,,,54,0% (0/0),0% (0/0),0% (0/0),PUT SOMETHING IN (A Light in the Attic),silly,picture,poem,Happy,"Draw a crazy picture,","Write a nutty poem,","Sing a mumble-gumble song,",Whistle through your comb.,Silly Sally went up to play,I called her,She said,Another day,,
3I01FDIL6MHELSY4OZ528I2H6I52DO,3H63IRCKX3PDP4MCU4U487QWHDZE8T,Writing Poetry!,The first stanza of a poem is written; write a second stanza to finish the poem.,"poetry, writing, rhyming",$0.01 ,Sat May 04 21:04:40 PDT 2019,3,BatchId:3631177;OriginalHitTemplateId:928390828;,3600,604800,Mon May 06 17:25:44 PDT 2019,,,3SB5N7Y3O4DCOM3B157YJZ8MRWKG02,A20WOLZTULWVHB,Submitted,Sun May 05 19:05:08 PDT 2019,Sun May 05 19:08:28 PDT 2019,Sun May 12 19:08:28 PDT 2019,,,,200,0% (0/0),0% (0/0),0% (0/0),YESEES AND NOEES (Every Thing On It),yesees,noees,thinkforyourselfees,Sad,The Yesees said yes to anything,The Noess said no to everyone,The thinkforyourselfees wanted to sing,Since no one was happy they had no fun.,the way we sobbed and cried,felt like we would never feel anything again.,we almost felt like we had died,and would be lonely until the end.,,
3HY86PZXPYRCODU81QG89HAXEOSE1C,3H63IRCKX3PDP4MCU4U487QWHDZE8T,Writing Poetry!,The first stanza of a poem is written; write a second stanza to finish the poem.,"poetry, writing, rhyming",$0.01 ,Sat May 04 21:04:40 PDT 2019,3,BatchId:3631177;OriginalHitTemplateId:928390828;,3600,604800,Sat May 11 21:04:40 PDT 2019,,,31QNSG6A5S2BDIXD36GJ611BBU878E,A2ERVNIRJB4SCB,Submitted,Mon May 06 02:58:24 PDT 2019,Mon May 06 03:00:17 PDT 2019,Mon May 13 03:00:17 PDT 2019,,,,113,0% (0/0),0% (0/0),0% (0/0),HUG O’WAR (Where the Sidewalk Ends),giggles,wins,grins,Happy,I will not play tug o’ war.,For Im a winner before the tug begins,Im always a winner and all of my grins show,that im always happy without the tug o' war,I'm so epic I get the wins,Now the women get the giggles,Look at the beauties they have the grins,Look at my gains I get them wiggle,,
3HY86PZXPYRCODU81QG89HAXEOSE1C,3H63IRCKX3PDP4MCU4U487QWHDZE8T,Writing Poetry!,The first stanza of a poem is written; write a second stanza to finish the poem.,"poetry, writing, rhyming",$0.01 ,Sat May 04 21:04:40 PDT 2019,3,BatchId:3631177;OriginalHitTemplateId:928390828;,3600,604800,Sat May 11 21:04:40 PDT 2019,,,39GAF6DQWS9VD8EOMJAKX5U6J57V16,A15R30WNGKL1KW,Submitted,Mon May 06 00:07:22 PDT 2019,Mon May 06 00:10:57 PDT 2019,Mon May 13 00:10:57 PDT 2019,,,,215,0% (0/0),0% (0/0),0% (0/0),HUG O’WAR (Where the Sidewalk Ends),giggles,wins,grins,Happy,I will not play tug o’ war.,For Im a winner before the tug begins,Im always a winner and all of my grins show,that im always happy without the tug o' war,I giggle in because am happy,I win I win I grins,I grins because I am happy,I am happy so I grins,,
3HY86PZXPYRCODU81QG89HAXEOSE1C,3H63IRCKX3PDP4MCU4U487QWHDZE8T,Writing Poetry!,The first stanza of a poem is written; write a second stanza to finish the poem.,"poetry, writing, rhyming",$0.01 ,Sat May 04 21:04:40 PDT 2019,3,BatchId:3631177;OriginalHitTemplateId:928390828;,3600,604800,Sat May 11 21:04:40 PDT 2019,,,3SB5N7Y3O4DCOM3B157YJZ8MRW50G7,ARR2DFJ5ARX3I,Submitted,Sun May 05 15:52:09 PDT 2019,Sun May 05 15:54:06 PDT 2019,Sun May 12 15:54:06 PDT 2019,,,,117,0% (0/0),0% (0/0),0% (0/0),HUG O’WAR (Where the Sidewalk Ends),giggles,wins,grins,Happy,I will not play tug o’ war.,For Im a winner before the tug begins,Im always a winner and all of my grins show,that im always happy without the tug o' war,giggles and grins,wins over sins,hairless chins,through a rosy lens,,
3EQPA8A3745HUP18N20RYR71WB0ZJ6,3H63IRCKX3PDP4MCU4U487QWHDZE8T,Writing Poetry!,The first stanza of a poem is written; write a second stanza to finish the poem.,"poetry, writing, rhyming",$0.01 ,Sat May 04 21:04:40 PDT 2019,3,BatchId:3631177;OriginalHitTemplateId:928390828;,3600,604800,Sat May 11 21:04:40 PDT 2019,,,338JKRMM278MPVW4DDM9T5W0FJXAHC,A812SI7Q3KEYB,Submitted,Sun May 05 21:47:17 PDT 2019,Sun May 05 21:57:34 PDT 2019,Sun May 12 21:57:34 PDT 2019,,,,617,0% (0/0),0% (0/0),0% (0/0),HUG O’WAR (Where the Sidewalk Ends),giggles,wins,grins,Happy,I will not play tug o’ war.,For Brandon always wins,He giggles like a maniac,Then turns away and grins,His giggles are contagious.,Grins playful and gleam.,Wins are outrageous,in this happy dream.,,
3EQPA8A3745HUP18N20RYR71WB0ZJ6,3H63IRCKX3PDP4MCU4U487QWHDZE8T,Writing Poetry!,The first stanza of a poem is written; write a second stanza to finish the poem.,"poetry, writing, rhyming",$0.01 ,Sat May 04 21:04:40 PDT 2019,3,BatchId:3631177;OriginalHitTemplateId:928390828;,3600,604800,Sat May 11 21:04:40 PDT 2019,,,37ZHEEHM6XVPCLR7RPLNFKT0V2O73I,A1BSQCSMHETKF2,Submitted,Sat May 04 22:00:37 PDT 2019,Sat May 04 22:07:03 PDT 2019,Sat May 11 22:07:03 PDT 2019,,,,386,0% (0/0),0% (0/0),0% (0/0),HUG O’WAR (Where the Sidewalk Ends),giggles,wins,grins,Happy,I will not play tug o’ war.,For Brandon always wins,He giggles like a maniac,Then turns away and grins,But then think I'll choose a game,To myself I quietly giggle,Chess! A game in which I always wins,I have him checkmated so now I grins.,,
3EQPA8A3745HUP18N20RYR71WB0ZJ6,3H63IRCKX3PDP4MCU4U487QWHDZE8T,Writing Poetry!,The first stanza of a poem is written; write a second stanza to finish the poem.,"poetry, writing, rhyming",$0.01 ,Sat May 04 21:04:40 PDT 2019,3,BatchId:3631177;OriginalHitTemplateId:928390828;,3600,604800,Sat May 11 21:04:40 PDT 2019,,,3SITXWYCNWIOUV1BOV4RR240LVSXBM,A1DICLA18SKT1L,Submitted,Mon May 06 08:38:43 PDT 2019,Mon May 06 08:42:30 PDT 2019,Mon May 13 08:42:30 PDT 2019,,,,227,0% (0/0),0% (0/0),0% (0/0),HUG O’WAR (Where the Sidewalk Ends),giggles,wins,grins,Happy,I will not play tug o’ war.,For Brandon always wins,He giggles like a maniac,Then turns away and grins,"Baby giggles,",tiny grins!,"potty trained,",mommy wins!,,
3SV8KD29L41C597Q5N03Z67EB00ZK5,3H63IRCKX3PDP4MCU4U487QWHDZE8T,Writing Poetry!,The first stanza of a poem is written; write a second stanza to finish the poem.,"poetry, writing, rhyming",$0.01 ,Sat May 04 21:04:40 PDT 2019,3,BatchId:3631177;OriginalHitTemplateId:928390828;,3600,604800,Sat May 11 21:04:40 PDT 2019,,,345LHZDEDY1RAW334XEYPC7K3MU3U7,APZ5LEF7SXHP7,Submitted,Mon May 06 11:34:45 PDT 2019,Mon May 06 11:49:59 PDT 2019,Mon May 13 11:49:59 PDT 2019,,,,914,0% (0/0),0% (0/0),0% (0/0),HUG O’WAR (Where the Sidewalk Ends),giggles,wins,grins,Happy,I will not play tug o’ war.,"The giggles, gaggles, and laughs.","Making the one who wins look silly,",With dusty grins that last and last.,"the laughter hence wins,",though the giggles were a joke.,"the silly winner shyly grins,",feeling it as a hell of a poke.,,
3SV8KD29L41C597Q5N03Z67EB00ZK5,3H63IRCKX3PDP4MCU4U487QWHDZE8T,Writing Poetry!,The first stanza of a poem is written; write a second stanza to finish the poem.,"poetry, writing, rhyming",$0.01 ,Sat May 04 21:04:40 PDT 2019,3,BatchId:3631177;OriginalHitTemplateId:928390828;,3600,604800,Sat May 11 21:04:40 PDT 2019,,,39ZSFO5CA952VA5S7I6L5JO9ZCDJUI,A1X7PC5PH6JWIS,Submitted,Sun May 05 13:27:00 PDT 2019,Sun May 05 13:32:03 PDT 2019,Sun May 12 13:32:03 PDT 2019,,,,303,0% (0/0),0% (0/0),0% (0/0),HUG O’WAR (Where the Sidewalk Ends),giggles,wins,grins,Happy,I will not play tug o’ war.,"The giggles, gaggles, and laughs.","Making the one who wins look silly,",With dusty grins that last and last.,The giggles continue after the sun goes down.,"The group is dancing, innocent and free.","The boy who wins grins like a birthday clown,",And all the children scream with cheerful glee.,,
3SV8KD29L41C597Q5N03Z67EB00ZK5,3H63IRCKX3PDP4MCU4U487QWHDZE8T,Writing Poetry!,The first stanza of a poem is written; write a second stanza to finish the poem.,"poetry, writing, rhyming",$0.01 ,Sat May 04 21:04:40 PDT 2019,3,BatchId:3631177;OriginalHitTemplateId:928390828;,3600,604800,Sat May 11 21:04:40 PDT 2019,,,3EA3QWIZ4J4R0M6XPVVBOMN73LVITW,A3J3IXX1UONTRO,Submitted,Sun May 05 21:38:36 PDT 2019,Sun May 05 21:40:25 PDT 2019,Sun May 12 21:40:25 PDT 2019,,,,109,0% (0/0),0% (0/0),0% (0/0),HUG O’WAR (Where the Sidewalk Ends),giggles,wins,grins,Happy,I will not play tug o’ war.,"The giggles, gaggles, and laughs.","Making the one who wins look silly,",With dusty grins that last and last.,You'd think the losers like to play in mud,With giggles as the other team wins,Their own team is declared a dud,Yet it never stops their grins,,
33IXYHIZB5RJDYC4KUGME0K26U62EH,3H63IRCKX3PDP4MCU4U487QWHDZE8T,Writing Poetry!,The first stanza of a poem is written; write a second stanza to finish the poem.,"poetry, writing, rhyming",$0.01 ,Sat May 04 21:04:40 PDT 2019,3,BatchId:3631177;OriginalHitTemplateId:928390828;,3600,604800,Mon May 06 17:25:45 PDT 2019,,,3FE7TXL1LJWAXL03JOGOW153UGDQ2P,A3ILNJMBARBMU,Submitted,Sun May 05 11:49:49 PDT 2019,Sun May 05 11:52:15 PDT 2019,Sun May 12 11:52:15 PDT 2019,,,,146,0% (0/0),0% (0/0),0% (0/0),RIDICULOUS ROSE (Where the Sidewalk Ends),toes,fingers,rose,Funny,"Her mama said, “Don’t eat with your fingers.”","Discolored from berries, they are now colored rose","But if not with my fingers, the answer are ringers",Because now i can simply eat with my toes.,My toes grasped berry after berry,My fingers were still colored rose,The feast made me feel merry,From my feet to the tip of my nose,,
307L9TDWJY1CSML0HTXANXJ3Q073NI,3H63IRCKX3PDP4MCU4U487QWHDZE8T,Writing Poetry!,The first stanza of a poem is written; write a second stanza to finish the poem.,"poetry, writing, rhyming",$0.01 ,Sat May 04 21:04:40 PDT 2019,3,BatchId:3631177;OriginalHitTemplateId:928390828;,3600,604800,Sat May 11 21:04:40 PDT 2019,,,34MAJL3QP5WSTY9OPRNGC89Q42K43L,A24XK965HNY30X,Submitted,Sun May 05 10:10:51 PDT 2019,Sun May 05 10:16:35 PDT 2019,Sun May 12 10:16:35 PDT 2019,,,,344,0% (0/0),0% (0/0),0% (0/0),RIDICULOUS ROSE (Where the Sidewalk Ends),toes,fingers,rose,Funny,"Her mama said, “Don’t eat with your fingers.”","She replied ""I can't eat with my toes.""","Mama said, ""You'll find garlic lingers","And you no longer smell like a rose.""","Her mama said, ""Toes know(s) but, fingers are a makin'""","She replied ""You better get the hose","Mama said, ""You're not the best at bakin","This place is gonna smell the opposite of a rose.""",,
307L9TDWJY1CSML0HTXANXJ3Q073NI,3H63IRCKX3PDP4MCU4U487QWHDZE8T,Writing Poetry!,The first stanza of a poem is written; write a second stanza to finish the poem.,"poetry, writing, rhyming",$0.01 ,Sat May 04 21:04:40 PDT 2019,3,BatchId:3631177;OriginalHitTemplateId:928390828;,3600,604800,Sat May 11 21:04:40 PDT 2019,,,3II4UPYCOKGX0VYJGD05SKW7R5BQD3,A2LD0G04R6MNX7,Submitted,Sat May 04 23:31:56 PDT 2019,Sat May 04 23:34:40 PDT 2019,Sat May 11 23:34:40 PDT 2019,,,,164,0% (0/0),0% (0/0),0% (0/0),RIDICULOUS ROSE (Where the Sidewalk Ends),toes,fingers,rose,Funny,"Her mama said, “Don’t eat with your fingers.”","She replied ""I can't eat with my toes.""","Mama said, ""You'll find garlic lingers","And you no longer smell like a rose.""",If you are teenagers,And eat the food potatoes,If you be a learner,Every time to tones,,
307L9TDWJY1CSML0HTXANXJ3Q073NI,3H63IRCKX3PDP4MCU4U487QWHDZE8T,Writing Poetry!,The first stanza of a poem is written; write a second stanza to finish the poem.,"poetry, writing, rhyming",$0.01 ,Sat May 04 21:04:40 PDT 2019,3,BatchId:3631177;OriginalHitTemplateId:928390828;,3600,604800,Sat May 11 21:04:40 PDT 2019,,,3YDGXNSEO03EUVFU18IC3PH1KR948G,A1ODM2VVCGZ8UH,Submitted,Sun May 05 23:40:57 PDT 2019,Sun May 05 23:44:30 PDT 2019,Sun May 12 23:44:30 PDT 2019,,,,213,0% (0/0),0% (0/0),0% (0/0),RIDICULOUS ROSE (Where the Sidewalk Ends),toes,fingers,rose,Funny,"Her mama said, “Don’t eat with your fingers.”","She replied ""I can't eat with my toes.""","Mama said, ""You'll find garlic lingers","And you no longer smell like a rose.""",it was hard to reach all those ringers,maybe I should reach with my toes.,"All i have is funny fingers,",well at least they smell like a rose.,,
3TTPFEFXCTTJF9M7XX0VPGYREF06HI,3H63IRCKX3PDP4MCU4U487QWHDZE8T,Writing Poetry!,The first stanza of a poem is written; write a second stanza to finish the poem.,"poetry, writing, rhyming",$0.01 ,Sat May 04 21:04:40 PDT 2019,3,BatchId:3631177;OriginalHitTemplateId:928390828;,3600,604800,Mon May 06 17:25:45 PDT 2019,,,3L0KT67Y8FPCBM8N4DCO05L9RIKSYM,A3HXM7BGH18FOW,Submitted,Sun May 05 04:23:27 PDT 2019,Sun May 05 04:29:13 PDT 2019,Sun May 12 04:29:13 PDT 2019,,,,346,0% (0/0),0% (0/0),0% (0/0),RIDICULOUS ROSE (Where the Sidewalk Ends),toes,fingers,rose,Funny,"Her mama said, “Don’t eat with your fingers.”",her mama said don't eat with your toes,"or one day they will end up red, like a very funny singer",that or a freshly planted rose,"Her mama said, ""You can't smell with your toes.""","Her mama said, ""You can't smell with your fingers.""",There is only one way to smell this rose,And with me the answer lingers.,,
3TTPFEFXCTTJF9M7XX0VPGYREF06HI,3H63IRCKX3PDP4MCU4U487QWHDZE8T,Writing Poetry!,The first stanza of a poem is written; write a second stanza to finish the poem.,"poetry, writing, rhyming",$0.01 ,Sat May 04 21:04:40 PDT 2019,3,BatchId:3631177;OriginalHitTemplateId:928390828;,3600,604800,Mon May 06 17:25:45 PDT 2019,,,3Y5140Z9DYPT8UDQ8EMRJCMAEICIPT,A3J3IXX1UONTRO,Submitted,Sun May 05 21:49:57 PDT 2019,Sun May 05 21:54:38 PDT 2019,Sun May 12 21:54:38 PDT 2019,,,,281,0% (0/0),0% (0/0),0% (0/0),RIDICULOUS ROSE (Where the Sidewalk Ends),toes,fingers,rose,Funny,"Her mama said, “Don’t eat with your fingers.”",her mama said don't eat with your toes,"or one day they will end up red, like a very funny singer",that or a freshly planted rose,Eating with fingers or toes would not be a bother,If she could end up looking like a rose.,"But when she tried it, her mama poked her",And now she has a Rudolph nose.,,
3LEG2HW4UFWBJCC0F50SWI52IVL2FZ,3H63IRCKX3PDP4MCU4U487QWHDZE8T,Writing Poetry!,The first stanza of a poem is written; write a second stanza to finish the poem.,"poetry, writing, rhyming",$0.01 ,Sat May 04 21:04:40 PDT 2019,3,BatchId:3631177;OriginalHitTemplateId:928390828;,3600,604800,Sat May 11 21:04:40 PDT 2019,,,3L6L49WXW16V7DWS3AB9R57AI3Q450,A194OT7LCPYGXQ,Submitted,Mon May 06 07:24:13 PDT 2019,Mon May 06 07:26:22 PDT 2019,Mon May 13 07:26:22 PDT 2019,,,,129,0% (0/0),0% (0/0),0% (0/0),MONSTERS I’VE MET (A Light in the Attic),ghost,devil,vampire,Funny,"I met a ghost, but he didn’t want my head,","I met a vampire, but he didn't want my neck",I met a devil all dressed in red.,They all wanted my candy. What the HECK!,"I met a dear. it gave me a beer,","I met a dino who thought he is a rhino,",I met a clown who wanted to go down.,They all where creepy or even needy,,
3LEG2HW4UFWBJCC0F50SWI52IVL2FZ,3H63IRCKX3PDP4MCU4U487QWHDZE8T,Writing Poetry!,The first stanza of a poem is written; write a second stanza to finish the poem.,"poetry, writing, rhyming",$0.01 ,Sat May 04 21:04:40 PDT 2019,3,BatchId:3631177;OriginalHitTemplateId:928390828;,3600,604800,Sat May 11 21:04:40 PDT 2019,,,3PQ8K71NHYT7F8OQ77CHCJ9W2T1AA5,A239B4RL76LE7S,Submitted,Mon May 06 12:20:19 PDT 2019,Mon May 06 12:23:11 PDT 2019,Mon May 13 12:23:11 PDT 2019,,,,172,0% (0/0),0% (0/0),0% (0/0),MONSTERS I’VE MET (A Light in the Attic),ghost,devil,vampire,Funny,"I met a ghost, but he didn’t want my head,","I met a vampire, but he didn't want my neck",I met a devil all dressed in red.,They all wanted my candy. What the HECK!,Roses are white as is a ghost,Roses are black as is devil's blood,Roses are red as is vampire's host,"Here are some roses, Bud!",,
3LEG2HW4UFWBJCC0F50SWI52IVL2FZ,3H63IRCKX3PDP4MCU4U487QWHDZE8T,Writing Poetry!,The first stanza of a poem is written; write a second stanza to finish the poem.,"poetry, writing, rhyming",$0.01 ,Sat May 04 21:04:40 PDT 2019,3,BatchId:3631177;OriginalHitTemplateId:928390828;,3600,604800,Sat May 11 21:04:40 PDT 2019,,,3VBEN272ML8CPVNNA7QIT5E5MOGGS2,A2ZBAJ79BPP5CV,Submitted,Sun May 05 14:20:22 PDT 2019,Sun May 05 14:23:48 PDT 2019,Sun May 12 14:23:48 PDT 2019,,,,206,0% (0/0),0% (0/0),0% (0/0),MONSTERS I’VE MET (A Light in the Attic),ghost,devil,vampire,Funny,"I met a ghost, but he didn’t want my head,","I met a vampire, but he didn't want my neck",I met a devil all dressed in red.,They all wanted my candy. What the HECK!,The devil cackled and grabbed,The vampire used his shadow powers,The ghost danced and dabbed,And they all ate my treats for hours,,
33IXYHIZB5RJDYC4KUGME0K26U6E2T,3H63IRCKX3PDP4MCU4U487QWHDZE8T,Writing Poetry!,The first stanza of a poem is written; write a second stanza to finish the poem.,"poetry, writing, rhyming",$0.01 ,Sat May 04 21:04:40 PDT 2019,3,BatchId:3631177;OriginalHitTemplateId:928390828;,3600,604800,Sat May 11 21:04:40 PDT 2019,,,3L4D84MIL01XQOZ87JZMM4ZJ53KJHO,A1BP3A40FCVRRU,Submitted,Sun May 05 01:31:32 PDT 2019,Sun May 05 01:33:53 PDT 2019,Sun May 12 01:33:53 PDT 2019,,,,141,0% (0/0),0% (0/0),0% (0/0),MONSTERS I’VE MET (A Light in the Attic),ghost,devil,vampire,Funny,"I met a ghost, but he didn’t want my head,",He only wanted to know the way to Denver.,"I met a devil, but he didn't want my soul",He only wanted to borrow my bike awhile,"I met a vampire, but he didn’t want my blood,",He only wanted to nickels for a dime.,I keep meeting all the right people—,At all the wrong times.,,
33IXYHIZB5RJDYC4KUGME0K26U6E2T,3H63IRCKX3PDP4MCU4U487QWHDZE8T,Writing Poetry!,The first stanza of a poem is written; write a second stanza to finish the poem.,"poetry, writing, rhyming",$0.01 ,Sat May 04 21:04:40 PDT 2019,3,BatchId:3631177;OriginalHitTemplateId:928390828;,3600,604800,Sat May 11 21:04:40 PDT 2019,,,3OUYGIZWR87I1ZWA4OXLD8MESMYP04,AE10U93NBSNA1,Submitted,Sun May 05 10:35:46 PDT 2019,Sun May 05 10:39:59 PDT 2019,Sun May 12 10:39:59 PDT 2019,,,,253,0% (0/0),0% (0/0),0% (0/0),MONSTERS I’VE MET (A Light in the Attic),ghost,devil,vampire,Funny,"I met a ghost, but he didn’t want my head,",He only wanted to know the way to Denver.,"I met a devil, but he didn't want my soul",He only wanted to borrow my bike awhile,"I met a vampire, but he didn't bite",He only wanted a map to find his friends,"I helped the vampire, ghost and devil with no invite",To the party in Denver they'll all attend,,
33IXYHIZB5RJDYC4KUGME0K26U6E2T,3H63IRCKX3PDP4MCU4U487QWHDZE8T,Writing Poetry!,The first stanza of a poem is written; write a second stanza to finish the poem.,"poetry, writing, rhyming",$0.01 ,Sat May 04 21:04:40 PDT 2019,3,BatchId:3631177;OriginalHitTemplateId:928390828;,3600,604800,Sat May 11 21:04:40 PDT 2019,,,3Y9N9SS8LZK5TUSHI2O9FC3WHEED36,A2E9GDKGIG76I9,Submitted,Sun May 05 04:02:31 PDT 2019,Sun May 05 04:06:09 PDT 2019,Sun May 12 04:06:09 PDT 2019,,,,218,0% (0/0),0% (0/0),0% (0/0),MONSTERS I’VE MET (A Light in the Attic),ghost,devil,vampire,Funny,"I met a ghost, but he didn’t want my head,",He only wanted to know the way to Denver.,"I met a devil, but he didn't want my soul",He only wanted to borrow my bike awhile,"In this life, I live as a ghost","I never see the sun, so my skin is pale",I am often referred to a vampire by most,"But I am no devil, I am only ashamed for the world to see my tail",,
